Number,Question,Answer,Score
1,"Мировоззрение, его исторические типы.","Мировоззрение — это система взглядов, оценок, принципов и образных представлений, определяющих самое общее видение мира и места человека в нем, а также задающая жизненные позиции, программы поведения и деятельности людей. Структурно оно включает в себя когнитивный (знания), эмоционально-оценочный (ценности, идеалы) и волевой (убеждения) компоненты.

Исторически выделяют три основных типа мировоззрения:

1. Мифологическое (характерно для первобытных и архаичных обществ):
- Синкретизм: нерасчлененность знаний, веры, эмоций и практической деятельности; человек не отделяет себя от природы и коллектива.
- Антропоморфизм и гилозоизм: перенесение на природу человеческих качеств, воли и чувств; одушевление космоса.
- Фантастическое отражение: миф выступает универсальной формой сознания, объясняющей происхождение мира, социальные нормы и природные явления через сказания о богах и героях, не требуя эмпирического доказательства.

2. Религиозное (доминирует в традиционных обществах):
- Теоцентризм: признание сверхъестественного абсолютного начала (Бога) как творца, первоосновы, хранителя и конечной цели мира.
- Дуализм: жесткое разделение реальности на сакральную (священную, духовную) и профанную (земную, греховную).
- Примат веры: истина постигается не через рациональный анализ, а через божественное откровение, догматы и слепую веру.
- Нормативность: наличие строгих моральных и поведенческих предписаний (заповедей), санкционированных высшей силой и предполагающих воздаяние.

3. Философское (возникает в Античности как результат духовной революции и перехода к рациональности):
- Рационализм: опора на разум, логику, критическое мышление и теоретическое обоснование любых утверждений.
- Рефлексивность: способность мышления обращаться на самого себя, анализировать собственные основания, границы познания и место человека в бытии.
- Системность: стремление к построению целостной, логически непротиворечивой картины мира на основе фундаментальных понятий и категорий.
- Универсальность: поиск всеобщих законов бытия, мышления и развития, выходящих за рамки частных мнений, догм и утилитарных интересов.",0
2,Предмет философии. Круг проблем философии. Функции философии.,"Предмет философии — это изучение наиболее общих законов развития природы, общества и мышления, а также фундаментальных отношений между человеком и миром. В отличие от частных наук, исследующих отдельные фрагменты реальности, философия рассматривает мир как целостную систему и определяет место человека в этой системе.

Круг проблем философии охватывает пять базовых областей:
1. Онтологические: что есть бытие? какова первооснова, структура и закономерности развития мира?
2. Гносеологические: познаваем ли мир? каковы границы, источники, методы и критерии истинности знания?
3. Антропологические: что есть человек? в чем специфика его природы, смысл жизни, свобода и ответственность?
4. Аксиологические: что такое добро и зло, справедливость, прекрасное? какова иерархия человеческих ценностей?
5. Социальные: какова природа общества, движущие силы его истории и перспективы развития?

Основные функции философии:
1. Мировоззренческая: формирование целостной картины мира и системы ценностных ориентаций личности.
2. Методологическая: разработка общих принципов, подходов и методов познания, служащих основой для частных наук.
3. Критическая: рациональный анализ, сомнение и преодоление догм, стереотипов и устаревших форм мышления.
4. Прогностическая: выявление глобальных тенденций развития и построение научно обоснованных моделей будущего.
5. Аксиологическая (ценностная): обоснование высших смыслов, идеалов и нравственных норм человеческого бытия.
6. Интегративная: обобщение и синтез достижений различных наук и культурного опыта в единую систему знаний.",0
3,Основной вопрос философии и его две стороны.,"Основной вопрос философии — это вопрос об отношении мышления к бытию, сознания к материи, духовного к материальному. Его решение определяет направленность всей философской системы и подход ко всем остальным проблемам. Он имеет две неразрывно связанные стороны:

1. Онтологическая сторона: что первично, а что вторично — материя или сознание?
- Материализм: первична материя, сознание вторично и является свойством высокоорганизованной материи, отражающей объективную реальность.
- Идеализм: первично духовное начало. Делится на объективный идеализм (первичен безличный абсолютный дух, идея или Бог, порождающие материю) и субъективный идеализм (первично сознание отдельного индивида, а материальный мир есть комплекс его ощущений).
- Дуализм: материя и сознание признаются двумя равноправными, независимыми и несводимыми друг к другу субстанциями.

2. Гносеологическая сторона: познаваем ли мир? Способно ли человеческое мышление дать адекватное отражение объективной реальности?
- Гносеологический оптимизм: мир принципиально познаваем, человеческий разум способен постигать его объективные законы (большинство материалистов и последовательные идеалисты, например, Гегель).
- Агностицизм и скептицизм: отрицают возможность достоверного познания сущности мира или считают человеческое познание принципиально ограниченным рамками субъективного опыта (И. Кант, Д. Юм).",0
4,Натурфилософия милетской школы античности.,"Милетская школа (VI в. до н.э., Фалес, Анаксимандр, Анаксимен) стала колыбелью европейской философии и науки, совершив переход от мифологического к рационально-натурфилософскому объяснению мира. Ее представители искали единое материальное первоначало (архэ), из которого все возникает и в которое все возвращается.

Основные представители и их концепции:
1. Фалес: первоосновой всего сущего считал воду. Он полагал, что Земля плавает на воде, а все вещи находятся в состоянии изменения, переходя из жидкого состояния в твердое и обратно. Ему также приписывается принцип гилозоизма («все полно богов»), означающий одушевленность материи и наличие в ней внутреннего источника движения.
2. Анаксимандр: ввел понятие «апейрон» (беспредельное, неопределенное) как первоначало. Он считал, что первооснова не может быть каким-либо конкретным элементом (как вода), а должна быть бесконечной и неопределенной субстанцией, из которой путем выделения противоположностей (теплого и холодного, сухого и влажного) возникают все вещи. Также выдвинул первые эволюционные идеи о происхождении человека от рыбообразных существ.
3. Анаксимен: первоначалом объявил воздух. Он впервые предложил механизм качественных изменений через количественные процессы: разрежение воздуха превращает его в огонь, а сгущение последовательно приводит к образованию ветра, облаков, воды, земли и камней.

Общие черты натурфилософии милетской школы:
- Материалистический монизм: поиск единой материальной основы всего многообразия мира.
- Гилозоизм: представление о материи как живой, самодвижущейся и одушевленной.
- Стихийная диалектика: понимание мира как процесса постоянного возникновения и уничтожения, взаимосвязи и перехода противоположностей.
- Рационализм: отказ от антропоморфных мифологических объяснений в пользу поиска естественных, внутренних причин природных явлений.",0
5,"Гераклит: космология, стихийная диалектика.","Гераклит Эфесский заложил основы стихийной диалектики и оригинальную космологию, противопоставив статичному бытию элейской школы идею всеобщего изменения и становления.

Космология:
Первоосновой мира является «вечно живой огонь», который мерно возгорается и мерно угасает. Огонь символизирует вечное движение, изменение и творческую энергию космоса. Мир не создан ни богами, ни людьми, он всегда был, есть и будет. Однако этот процесс подчинен всеобщему объективному закону — Логосу. Логос выступает как всеобщая мера, разумный порядок и необходимость, управляющая превращениями огня в море, а моря в землю, и обратно. Познание мира состоит в постижении этого Логоса, который един для всех, хотя большинство людей живет, как будто обладает частным, обособленным пониманием.

Стихийная диалектика:
1. Принцип всеобщей изменчивости: «Всё течет, всё меняется» (panta rhei). Невозможно дважды войти в одну и ту же реку, так как на входящего постоянно набегают новые воды. Бытие тождественно процессу становления.
2. Единство и борьба противоположностей: противоположности неразрывно связаны, предполагают друг друга и составляют сущность единого целого (день и ночь, зима и лето, война и мир, голод и сытость). «Война (борьба) есть отец всего и царь всего».
3. Взаимный переход противоположностей: начало и конец в круговом движении совпадают; болезнь делает сладким здоровье, а усталость — покой.
4. Гармония через напряжение: истинная гармония возникает не из тождества, а из соединения и напряжения противоположностей, подобно натяжению тетивы лука или струн лиры. «Скрытая гармония сильнее явной».

Философия Гераклита стала первым в истории системным выражением диалектического понимания мира как закономерного процесса, развивающегося через внутренние противоречия.",0
6,Две линии в Античной философии: Демокрит и Платон.,"Две основные линии в античной философии, заложенные Демокритом и Платоном, представляют собой классическое противостояние материализма и объективного идеализма, определившее фундаментальные векторы развития всей западной мысли.

Линия Демокрита (материализм):
- Онтология (атомизм): первоосновой всего сущего являются атомы (неделимые, вечные, неизменные материальные частицы) и пустота (пространство, в котором они движутся). Все объекты, включая человеческую душу, материальны и состоят из атомов.
- Детерминизм: все процессы в мире подчинены строгой причинно-следственной необходимости. Случайность трактуется лишь как субъективное признание нашего незнания истинных причин событий; божественное вмешательство исключается.
- Гносеология: познание начинается с чувственного опыта, однако истинное знание о природе атомов и пустоты достигается только разумом, способным проникнуть за пределы обманчивых чувственных данных («темное познание» сменяется «истинным познанием»).

Линия Платона (объективный идеализм):
- Онтология (теория идей/эйдосов): реальность строго дуалистична. Существует высший, умопостигаемый мир вечных, неизменных и совершенных Идей (эйдосов), являющийся подлинной реальностью и причиной всего, и низший, чувственный мир вещей, который представляет собой лишь их бледные, несовершенные копии или тени.
- Дуализм души и тела: душа нематериальна, бессмертна и существовала до рождения в мире идей. Тело рассматривается как «темница души», сковывающая ее и мешающая истинному познанию.
- Гносеология (анамнесис): чувственный опыт дает лишь изменчивое мнение (докса), но не истинное знание (эпистеме). Подлинное познание — это припоминание (анамнесис) душой тех идей, которые она созерцала до вселения в тело, что достигается посредством диалектики и чистого разума.

Эти два подхода задали базовые философские оппозиции: материя против духа, эмпиризм против рационализма, механистический детерминизм против телеологии.",0
7,"Сократ: философский метод, проблема человека.","Сократ совершил антропологический поворот в античной философии, сместив фокус с натурфилософского изучения космоса на исследование человека, его души и нравственной природы. Его центральный императив — «Познай самого себя», что означает прежде всего познание своей души (психе) как средоточия разума, совести и моральной ответственности.

Философский метод Сократа (сократическая диалектика) строится на живом диалоге и включает четыре взаимосвязанных приема:
1. Ирония — методическое притворное незнание и задавание наводящих вопросов, которые вскрывают логические противоречия в убеждениях собеседника и разрушают его догматическую уверенность в мнимом знании.
2. Майевтика («повивальное искусство») — помощь собеседнику в самостоятельном «рождении» истины из его же собственного разума через систему последовательных вопросов, а не навязывание готовых догм.
3. Индукция — движение мысли от рассмотрения частных, единичных примеров и житейских ситуаций к выявлению общих, универсальных признаков и закономерностей.
4. Дефиниция (определение) — формулирование точного, строгого и всеобщего понятия (сущности) исследуемого морального явления (например, «что такое справедливость», «мужество» или «благо»).

Проблема человека и этика:
- Душа является истинной сущностью человека, требующей постоянной заботы и нравственного совершенствования, что неизмеримо важнее богатства, славы или телесных удовольствий.
- Этический интеллектуализм: добродетель тождественна знанию. Человек совершает зло исключительно по неведению, ошибочно принимая его за благо. Никто не грешит добровольно; обладая подлинным знанием о добре, человек неизбежно будет поступать правильно.
- Знание не может быть чисто теоретическим, оно обязательно должно воплощаться в практическом нравственном поведении. Истинное знание ведет к добродетели, а незнание является корнем порока.",0
8,Философия Аристотеля.,"Аристотель систематизировал античное знание, создав первую всеобъемлющую философскую систему. В противовес Платону он отверг трансцендентность идей, утверждая, что сущность (форма) существует не в отдельном идеальном мире, а внутри самих единичных вещей.

Ключевые положения его учения:
1. Гилеморфизм: любое чувственное бытие есть неразрывное единство материи (пассивного субстрата, «из чего» состоит вещь) и формы (активного начала, определяющего ее сущность, структуру и целевое назначение).
2. Учение о четырех причинах: для полного объяснения любого явления или изменения необходимо указать: материальную (из чего состоит), формальную (что это есть по своей сущности), движущую или действующую (источник изменения) и целевую (ради чего существует) причины.
3. Потенция и актуальность: развитие понимается как процесс перехода из возможности (потенции) в действительность (актуальность, или энтелехию). Вершиной онтологической иерархии выступает «Перводвигатель» (Бог) как чистая актуальность и конечная цель мирового движения, лишенная материи и потенциальности.
4. Логика: Аристотель является создателем формальной логики. Он разработал учение о десяти категориях бытия (субстанция, количество, качество, отношение и др.), а также теорию силлогизма как основной формы дедуктивного умозаключения, заложив основы научного метода.
5. Этика и политика: высшее благо человека — эвдемония (счастье), понимаемое не как удовольствие, а как разумная деятельность души в соответствии с добродетелью. Нравственная добродетель определяется как «золотая середина» между двумя пороками (избытком и недостатком). Человек по своей природе есть «политическое животное» (zoon politikon), способное полноценно реализовать свой потенциал и достичь добродетели только в рамках государственного устройства (полиса).",0
9,"Поздняя античность: эпикурейцы, стоики, скептики.","Поздняя античная философия смещает фокус с космологии и онтологии на этику, выдвигая на первый план проблему личного спасения и выработки практических стратегий достижения душевного равновесия в эпоху распада полисных структур и роста империй.

Эпикуреизм (Эпикур) базируется на атомистическом материализме и отрицает вмешательство богов или провидения в мировые процессы. Высшее благо — удовольствие, трактуемое не как гедонистическая роскошь, а как отсутствие телесной боли (апония) и душевных тревог (атараксия). Потребности делятся на естественные необходимые, естественные излишние и мнимые; мудрец удовлетворяет лишь первые, достигая автаркии (самодостаточности). Страх смерти и богов преодолевается рационально: смерть есть распад атомов и отсутствие ощущений, а боги безразличны к миру. Идеал жизни — спокойное существование в кругу друзей, свободное от политических амбиций и общественных страстей.

Стоицизм (Зенон, Сенека, Эпиктет, Марк Аврелий) исходит из пантеистического материализма: Вселенная едина, разумна и управляется Логосом (мировым законом, судьбой). Этика стоиков утверждает, что единственное безусловное благо — добродетель, понимаемая как жизнь в согласии с природой и разумом. Все внешние условия (богатство, бедность, здоровье, болезнь, слава) относятся к «безразличным» (адиафора). Цель — апатия (бесстрастие), достигаемая через рациональный контроль над аффектами и принятие неизбежного. Стоики развивают идеи космического гражданства (космополитизма), нравственного долга и внутренней свободы, которая сохраняется независимо от внешних обстоятельств и остается под полным контролем индивида.

Скептицизм (Пиррон, Секст Эмпирик) отрицает возможность достоверного познания сущности вещей из-за относительности чувственного восприятия и равносильности противоположных аргументов (изосфения). Основной метод — эпохé (воздержание от любых догматических суждений). Отказ от поиска абсолютной истины естественным образом приводит к атараксии, поскольку исчезают страхи и тревоги, порождаемые догматизмом и ответственностью за «правильность» взглядов. В практической жизни скептик пассивно следует обычаям, законам и естественным влечениям, не утверждая их объективной истинности, что обеспечивает адаптацию к реальности без интеллектуальных конфликтов и фанатизма.

Общее для всех трех школ: отказ от системного построения объективной картины мира, концентрация на индивидуальной этике, идеал внутренней автономии личности и понимание философии как практического искусства жизни и духовной терапии, а не чистой метафизической теории.",0
10,"Философия Средневековья: характерные черты, периоды.","Характерные черты средневековой философии:
1. Теоцентризм: Бог является абсолютным центром мироздания, источником бытия, истины и блага.
2. Креационизм: учение о сотворении мира Богом из ничего (creatio ex nihilo) по свободной воле.
3. Провиденциализм: представление о том, что история и природа управляются божественным промыслом и имеют конечную цель (эсхатология).
4. Примат веры над разумом: истина откровения выше истины разума; философия рассматривается как «служанка богословия» (philosophia ancilla theologiae).
5. Символизм: материальный мир понимается как система знаков и символов, указывающих на высшие духовные реальности.
6. Традиционализм и авторитаризм: опора на непререкаемый авторитет Священного Писания и трудов Отцов Церкви.

Основные периоды:
1. Патристика (II–VIII вв.): этап становления христианского вероучения, борьбы с ересями и синтеза библейских идей с античной (преимущественно неоплатонической) философией. Ключевая фигура — Аврелий Августин, разработавший учения о благодати, предопределении, времени и двух градах («Граде Божием» и «Граде земном»).
2. Схоластика (IX–XV вв.): «школьная» философия, направленная на рациональное обоснование, систематизацию и логическое доказательство религиозных догматов. Делится на три этапа:
   - Ранняя (IX–XII вв.): зарождение спора об универсалиях (крайний реализм Ансельма Кентерберийского против номинализма Росцелина), развитие диалектики Пьером Абеляром («концептуализм»).
   - Зрелая (XIII в.): период наивысшего расцвета, интеграция философии Аристотеля в христианское богословие. Вершина — система Фомы Аквинского, утвердившего умеренный реализм и относительную гармонию веры и разума.
   - Поздняя (XIV–XV вв.): кризис схоластики, разрыв связи между верой и разумом, утверждение волюнтаризма (Иоанн Дунс Скот) и радикального номинализма (Уильям Оккам с его методологическим принципом «бритвы Оккама»: «не следует умножать сущности без необходимости»), что подготовило почву для эмпирической науки Нового времени.",0
